MESH Cell ,Tri UDS   ,Tri CDS   ,Tri PL    ,Tri SOUP  ,Quad UDS  ,Quad CDS  ,Quad PL   ,Quad SOU  
4.000000 ,0.080590 ,0.124470 ,0.157230 ,0.209360 ,0.209810 ,0.308050 ,0.123840 ,0.166260
16.000000 ,0.404310 ,0.605030 ,0.282660 ,0.340040 ,0.146250 ,0.145470 ,0.162930 ,0.251420
64.000000 ,0.875380 ,0.876350 ,0.975490 ,1.241170 ,0.408600 ,0.472830 ,0.620900 ,0.904560
256.000000 ,3.314740 ,3.332240 ,3.152190 ,4.409390 ,1.587460 ,1.855080 ,1.631140 ,3.697730
1024.000000 ,14.715640 ,15.176430 ,15.108630 ,19.426310 ,6.346940 ,6.754530 ,6.799250 ,16.760190
4096.000000 ,72.282600 ,73.480080 ,74.559360 ,99.184510 ,28.526150 ,31.732410 ,31.968610 ,76.931130
