MESH Cell ,Tri UDS   ,Tri CDS   ,Tri PL    ,Tri SOUP  ,Quad UDS  ,Quad CDS  ,Quad PL   ,Quad SOU  
4.000000 ,0.053210 ,0.115620 ,0.073010 ,0.209540 ,0.101390 ,0.164730 ,0.065290 ,0.125710
16.000000 ,0.194110 ,0.285020 ,0.322920 ,0.258350 ,0.105370 ,0.123260 ,0.120930 ,0.190940
64.000000 ,0.737800 ,0.771560 ,0.686400 ,1.056090 ,0.423990 ,0.339800 ,0.444350 ,0.892420
256.000000 ,3.465270 ,4.055570 ,3.748410 ,4.199660 ,1.376410 ,2.315210 ,2.049130 ,4.262290
1024.000000 ,39.688500 ,27.821950 ,27.937490 ,22.613300 ,8.330820 ,15.573350 ,16.972480 ,18.522920
4096.000000 ,132.555580 ,204.583300 ,204.994190 ,139.015100 ,66.604610 ,123.485150 ,129.428620 ,123.487710
