X,Y,Value,VX1,VY1,VX2,VY2,VX3,VY3
0.00135417,0.0489583,598.892,0.00125,0.00140625,0.00140625,0.0484375,0.0484375,0.05
0.00130208,0.0494792,598.967,0.00140625,0.00125,0.00125,0.05,0.05,0.0484375
0.000364583,0.0598958,599.315,0.00046875,0.0003125,0.0003125,0.059375,0.0609375,0.059375
0.000416667,0.0604167,599.162,0.00046875,0.0003125,0.00046875,0.0609375,0.0609375,0.059375
0.00135417,0.0119792,531.198,0.00140625,0.00140625,0.00125,0.0109375,0.0125,0.0125
0.00130208,0.0114583,532.901,0.00140625,0.00125,0.00125,0.0109375,0.0125,0.0109375
0.00130208,0.0104167,521.265,0.00140625,0.00125,0.00125,0.0109375,0.0109375,0.009375
0.00135417,0.00989583,513.273,0.00125,0.00140625,0.00140625,0.009375,0.009375,0.0109375
0.00151042,0.0104167,511.874,0.00140625,0.0015625,0.0015625,0.0109375,0.009375,0.0109375
0.00145833,0.00989583,513.091,0.00140625,0.00140625,0.0015625,0.0109375,0.009375,0.009375
0.00145833,0.0119792,531.023,0.00140625,0.00140625,0.0015625,0.0125,0.0109375,0.0125
0.00151042,0.0114583,523.887,0.0015625,0.00140625,0.0015625,0.0125,0.0109375,0.0109375
0.00114583,0.0302083,594.789,0.00109375,0.00125,0.00109375,0.0296875,0.0296875,0.03125
0.00119792,0.0307292,594.455,0.00109375,0.00125,0.00125,0.03125,0.0296875,0.03125
0.00161458,0.00520833,434.751,0.0015625,0.0015625,0.00171875,0.00625,0.0046875,0.0046875
0.00166667,0.00572917,435.505,0.00171875,0.00171875,0.0015625,0.0046875,0.00625,0.00625
0.00151042,0.00520833,434.988,0.00140625,0.0015625,0.0015625,0.0046875,0.0046875,0.00625
0.00145833,0.00572917,447.767,0.0015625,0.00140625,0.00140625,0.00625,0.00625,0.0046875
5.20833e-05,0.00416667,584.522,0,0,0.00015625,0.0046875,0.003125,0.0046875
0.000104167,0.00364583,558.652,0,0.00015625,0.00015625,0.003125,0.003125,0.0046875
0.000208333,0.00364583,557.792,0.00015625,0.00015625,0.0003125,0.0046875,0.003125,0.003125
0.000260417,0.00416667,540.349,0.0003125,0.0003125,0.00015625,0.003125,0.0046875,0.0046875
0.00145833,0.00677083,470.496,0.00140625,0.0015625,0.00140625,0.00625,0.00625,0.0078125
0.00151042,0.00729167,469.606,0.00140625,0.0015625,0.0015625,0.0078125,0.00625,0.0078125
0.00145833,0.00885417,499.68,0.0015625,0.00140625,0.00140625,0.009375,0.009375,0.0078125
0.00151042,0.00833333,491.911,0.0015625,0.0015625,0.00140625,0.0078125,0.009375,0.0078125
0.00135417,0.00885417,499.854,0.00140625,0.00140625,0.00125,0.0078125,0.009375,0.009375
0.00130208,0.00833333,500.849,0.00125,0.00125,0.00140625,0.009375,0.0078125,0.0078125
0.00119792,0.00729167,483.435,0.00125,0.00125,0.00109375,0.00625,0.0078125,0.0078125
0.00114583,0.00677083,485.224,0.00125,0.00109375,0.00109375,0.00625,0.0078125,0.00625
0.00135417,0.00677083,470.758,0.00140625,0.00140625,0.00125,0.00625,0.0078125,0.00625
0.00130208,0.00729167,483.122,0.00125,0.00140625,0.00125,0.00625,0.0078125,0.0078125
0.00135417,0.00572917,448.046,0.00140625,0.00140625,0.00125,0.0046875,0.00625,0.00625
0.00130208,0.00520833,449.352,0.00125,0.00125,0.00140625,0.00625,0.0046875,0.0046875
0.00135417,0.0458333,598.797,0.00140625,0.00125,0.00140625,0.046875,0.0453125,0.0453125
0.00130208,0.0463542,598.919,0.00125,0.00125,0.00140625,0.046875,0.0453125,0.046875
0.00151042,0.0463542,598.721,0.0015625,0.0015625,0.00140625,0.0453125,0.046875,0.046875
0.00145833,0.0458333,598.794,0.00140625,0.00140625,0.0015625,0.046875,0.0453125,0.0453125
0.00135417,0.0479167,598.835,0.00140625,0.00140625,0.00125,0.046875,0.0484375,0.0484375
0.00130208,0.0473958,598.921,0.00140625,0.00125,0.00125,0.046875,0.0484375,0.046875
0.00145833,0.0479167,598.831,0.0015625,0.00140625,0.00140625,0.0484375,0.0484375,0.046875
0.00151042,0.0473958,598.747,0.00140625,0.0015625,0.0015625,0.046875,0.046875,0.0484375
0.000572917,0.0463542,599.39,0.00046875,0.000625,0.000625,0.046875,0.0453125,0.046875
0.000520833,0.0458333,599.51,0.00046875,0.000625,0.00046875,0.0453125,0.0453125,0.046875
5.20833e-05,0.0463542,599.918,0.00015625,0,0,0.046875,0.046875,0.0453125
0.000104167,0.0458333,599.786,0,0.00015625,0.00015625,0.0453125,0.0453125,0.046875
0.000677083,0.0463542,599.384,0.000625,0.000625,0.00078125,0.046875,0.0453125,0.046875
0.000729167,0.0458333,599.251,0.00078125,0.000625,0.00078125,0.046875,0.0453125,0.0453125
0.000833333,0.0458333,599.246,0.00078125,0.0009375,0.00078125,0.0453125,0.0453125,0.046875
0.000885417,0.0463542,599.142,0.00078125,0.0009375,0.0009375,0.046875,0.0453125,0.046875
0.00119792,0.0463542,598.924,0.00109375,0.00125,0.00125,0.046875,0.0453125,0.046875
0.00114583,0.0458333,599.005,0.00109375,0.00125,0.00109375,0.0453125,0.0453125,0.046875
0.000989583,0.0463542,599.136,0.0009375,0.0009375,0.00109375,0.046875,0.0453125,0.046875
0.00104167,0.0458333,599.009,0.00109375,0.0009375,0.00109375,0.046875,0.0453125,0.0453125
0.00260417,0.0447917,598.241,0.00265625,0.0025,0.00265625,0.0453125,0.0453125,0.04375
0.00255208,0.0442708,598.195,0.00265625,0.0025,0.0025,0.04375,0.0453125,0.04375
0.000416667,0.0458333,599.515,0.00046875,0.00046875,0.0003125,0.0453125,0.046875,0.0453125
0.000364583,0.0463542,599.649,0.0003125,0.00046875,0.0003125,0.0453125,0.046875,0.046875
0.000208333,0.0458333,599.781,0.0003125,0.00015625,0.00015625,0.0453125,0.046875,0.0453125
0.000260417,0.0463542,599.655,0.0003125,0.00015625,0.0003125,0.046875,0.046875,0.0453125
5.20833e-05,0.0442708,599.911,0,0,0.00015625,0.0453125,0.04375,0.04375
0.000104167,0.0447917,599.774,0.00015625,0.00015625,0,0.04375,0.0453125,0.0453125
0.000208333,0.0447917,599.769,0.00015625,0.0003125,0.00015625,0.04375,0.0453125,0.0453125
0.000260417,0.0442708,599.627,0.0003125,0.0003125,0.00015625,0.04375,0.0453125,0.04375
0.000729167,0.0447917,599.196,0.00078125,0.000625,0.00078125,0.0453125,0.0453125,0.04375
0.000677083,0.0442708,599.33,0.00078125,0.000625,0.000625,0.04375,0.0453125,0.04375
0.000833333,0.0447917,599.19,0.00078125,0.0009375,0.00078125,0.04375,0.0453125,0.0453125
0.000885417,0.0442708,599.028,0.0009375,0.0009375,0.00078125,0.04375,0.0453125,0.04375
0.00114583,0.0447917,598.913,0.00109375,0.00125,0.00109375,0.04375,0.0453125,0.0453125
0.00119792,0.0442708,598.762,0.00125,0.00125,0.00109375,0.04375,0.0453125,0.04375
0.00104167,0.0447917,598.918,0.00109375,0.0009375,0.00109375,0.0453125,0.0453125,0.04375
0.000989583,0.0442708,599.023,0.00109375,0.0009375,0.0009375,0.04375,0.0453125,0.04375
0.00494792,0.0192708,598.492,0.005,0.005,0.00484375,0.01875,0.0203125,0.01875
0.00489583,0.0197917,596.438,0.005,0.00484375,0.00484375,0.0203125,0.0203125,0.01875
0.00473958,0.0223958,595.017,0.00484375,0.0046875,0.0046875,0.021875,0.0234375,0.021875
